iter	Passed	Remaining
658	3166	1638
659	3170	1633
660	3173	1627
661	3176	1621
662	3181	1617
663	3184	1611
664	3187	1605
665	3190	1600
666	3193	1594
667	3199	1590
668	3202	1584
669	3205	1578
670	3208	1572
671	3213	1568
672	3218	1563
673	3222	1558
674	3229	1554
675	3235	1550
676	3239	1545
677	3250	1543
678	3253	1538
679	3257	1533
680	3269	1531
681	3272	1526
682	3279	1522
683	3282	1516
684	3287	1511
685	3290	1506
686	3297	1502
687	3300	1496
688	3303	1490
689	3309	1486
690	3312	1481
691	3315	1475
692	3318	1469
693	3320	1464
694	3327	1460
695	3330	1454
696	3334	1449
697	3337	1444
698	3345	1440
699	3348	1435
700	3351	1429
701	3355	1424
702	3363	1420
703	3367	1415
704	3370	1410
705	3378	1406
706	3382	1401
707	3385	1396
708	3391	1392
709	3395	1387
710	3399	1381
711	3403	1376
712	3410	1372
713	3413	1367
714	3417	1362
715	3423	1357
716	3426	1352
717	3432	1348
718	3439	1344
719	3443	1338
720	3446	1333
721	3449	1328
722	3455	1323
723	3461	1319
724	3464	1314
725	3472	1310
726	3475	1305
727	3478	1299
728	3481	1294
729	3487	1289
730	3490	1284
731	3493	1278
732	3496	1273
733	3499	1268
734	3503	1263
735	3506	1257
736	3509	1252
737	3512	1246
738	3514	1241
739	3521	1237
740	3524	1231
741	3527	1226
742	3529	1220
743	3535	1216
744	3538	1211
745	3541	1205
746	3543	1200
747	3546	1194
748	3552	1190
749	3555	1185
750	3558	1179
751	3561	1174
752	3564	1169
753	3570	1164
754	3573	1159
755	3576	1154
756	3578	1148
757	3584	1144
758	3587	1139
759	3589	1133
760	3592	1128
761	3595	1123
762	3601	1118
763	3604	1113
764	3607	1108
765	3610	1102
766	3618	1099
767	3621	1093
768	3625	1088
769	3628	1083
770	3639	1081
771	3642	1075
772	3649	1071
773	3653	1066
774	3656	1061
775	3660	1056
776	3667	1052
777	3671	1047
778	3674	1042
779	3681	1038
780	3684	1033
781	3687	1028
782	3691	1023
783	3696	1018
784	3700	1013
785	3703	1008
786	3707	1003
787	3714	999
788	3717	994
789	3720	989
790	3723	983
791	3730	979
792	3734	974
793	3737	969
794	3746	965
795	3749	960
796	3754	956
797	3761	952
798	3765	947
799	3769	942
800	3773	937
801	3782	933
802	3785	928
803	3788	923
804	3795	919
805	3798	914
806	3801	909
807	3805	904
808	3811	899
809	3814	894
810	3818	889
811	3824	885
812	3828	880
813	3894	889
814	3899	885
815	3918	883
816	3924	879
817	3928	874
818	3932	869
819	3936	864
820	3943	859
821	3946	854
822	3949	849
823	3952	844
824	3959	839
825	3963	834
826	3967	829
827	3974	825
828	3978	820
829	3981	815
830	3984	810
831	3991	805
832	3994	800
833	3998	795
834	4004	791
835	4007	786
836	4010	781
837	4013	775
838	4021	771
839	4025	766
840	4028	761
841	4031	756
842	4038	752
843	4041	746
844	4044	741
845	4048	737
846	4054	732
847	4058	727
848	4061	722
849	4064	717
850	4071	712
851	4075	707
852	4078	702
853	4081	697
854	4086	692
855	4089	687
856	4092	682
857	4096	677
858	4104	673
859	4107	668
860	4110	663
861	4115	658
862	4118	653
863	4121	648
864	4125	643
865	4127	638
866	4134	634
867	4137	629
868	4139	624
869	4142	619
870	4148	614
871	4150	609
872	4153	604
873	4156	599
874	4159	594
875	4165	589
876	4168	584
877	4172	579
878	4176	574
879	4183	570
880	4187	565
881	4191	560
882	4197	556
883	4200	551
884	4203	546
885	4206	541
886	4212	536
887	4216	531
888	4219	526
889	4222	521
890	4228	517
891	4232	512
892	4235	507
893	4238	502
894	4240	497
895	4244	492
896	4247	487
897	4250	482
898	4252	477
899	4259	473
900	4262	468
901	4265	463
902	4268	458
903	4273	453
904	4276	448
905	4279	444
